ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_ps v_speed 
3.26873 4.5474 0 0.547592 
4.5518 4.5557 0 0.274245 
5.86094 4.55572 0 0.429122 
7.16351 4.5311 0 0.537335 
8.4615 4.55094 0 0.413023 
9.75981 4.55583 0 0.412286 
11.0572 4.56042 0 0.421652 
12.3556 4.55866 0 0.378962 
13.6771 4.55321 0 0.701014 
14.9639 4.5566 0 0.487086 
16.2538 4.55889 0 0.374285 
17.5591 4.56347 0 0.505224 
18.8591 4.55392 0 0.347688 
0.659298 5.86241 0 0.461932 
1.96673 5.84357 0 0.521195 
3.26108 5.85068 0 0.407279 
4.55015 5.85197 0 0.209017 
5.85839 5.85752 0 0.3958 
7.15843 5.84351 0 0.362783 
8.46805 5.86127 0 0.59396 
9.765 5.84667 0 0.47586 
11.0665 5.85949 0 0.555394 
12.3562 5.85789 0 0.37212 
13.6629 5.86141 0 0.51799 
14.9543 5.85258 0 0.292182 
16.2483 5.8504 0 0.177154 
17.5628 5.86084 0 0.514068 
18.8432 5.85444 0 0.269536 
0.65641 7.14817 0 0.327338 
1.95192 7.15243 0 0.24055 
3.26157 7.14792 0 0.416763 
4.56334 7.14224 0 0.468171 
5.86369 7.15699 0 0.480569 
7.16677 7.15955 0 0.552678 
8.45564 7.14586 0 0.307722 
9.75514 7.15286 0 0.303524 
11.0696 7.16446 0 0.644152 
12.3672 7.14447 0 0.526015 
13.6582 7.15864 0 0.403682 
14.9608 7.16027 0 0.465302 
16.2662 7.15317 0 0.509128 
17.5634 7.14318 0 0.428231 
18.8607 7.152 0 0.379863 
0.653204 8.43566 0 0.380843 
1.95631 8.44684 0 0.322231 
3.25092 8.44478 0 0.235867 
4.56708 8.46063 0 0.55953 
5.86052 8.44984 0 0.396835 
7.15917 8.44659 0 0.376546 
8.47305 8.4508 0 0.635298 
9.74987 8.44178 0 0.248592 
11.069 8.46658 0 0.640962 
12.351 8.45468 0 0.234184 
13.6637 8.4464 0 0.461197 
14.9715 8.45261 0 0.608318 
16.2562 8.46061 0 0.374394 
17.5627 8.4556 0 0.452507 
18.8542 8.4497 0 0.276889 
0.665145 9.74847 0 0.493498 
1.96317 9.76586 0 0.539335 
3.25484 9.74094 0 0.336154 
4.56942 9.74046 0 0.59429 
5.86577 9.73802 0 0.546361 
7.1566 9.75666 0 0.346138 
8.46668 9.75913 0 0.542477 
9.75347 9.75605 0 0.286811 
11.0554 9.75763 0 0.33307 
12.3521 9.74819 0 0.239801 
13.6562 9.75372 0 0.323267 
14.9523 9.75717 0 0.27578 
16.2445 9.75944 0 0.201665 
17.5621 9.76189 0 0.483157 
18.8495 9.74318 0 0.228101 
0.663792 11.0498 0 0.467026 
1.9568 11.0463 0 0.333458 
3.26469 11.0443 0 0.488252 
4.57143 11.0548 0 0.610874 
5.85805 11.0473 0 0.353466 
7.15322 11.0407 0 0.312608 
8.46113 11.0459 0 0.415815 
9.75701 11.0594 0 0.375017 
11.0676 11.0452 0 0.538894 
12.3596 11.0571 0 0.401701 
13.6549 11.0448 0 0.306575 
14.9647 11.0396 0 0.515349 
16.255 11.0446 0 0.30903 
17.5625 11.045 0 0.445304 
18.8604 11.0469 0 0.39931 
0.658023 12.359 0 0.392451 
1.95525 12.3488 0 0.29797 
3.24197 12.3514 0 0.0465835 
4.54665 12.3464 0 0.154881 
5.85724 12.3454 0 0.348465 
7.16319 12.3476 0 0.450878 
8.46015 12.3424 0 0.420247 
9.75697 12.3552 0 0.338758 
11.0544 12.3523 0 0.281288 
12.3618 12.3516 0 0.420085 
13.6649 12.3521 0 0.478906 
14.949 12.3557 0 0.190608 
16.2716 12.338 0 0.661291 
17.5581 12.3411 0 0.41237 
18.8561 12.3423 0 0.380077 
0.660752 13.6573 0 0.424447 
1.96203 13.6534 0 0.426073 
3.25495 13.6389 0 0.372841 
4.5542 13.6525 0 0.275404 
5.85844 13.6479 0 0.361903 
7.15163 13.6395 0 0.323356 
8.46179 13.6402 0 0.473397 
9.75597 13.6479 0 0.316484 
11.0617 13.6494 0 0.417666 
12.3669 13.65 0 0.513452 
13.6619 13.6425 0 0.460873 
14.9542 13.6524 0 0.262304 
16.2473 13.6443 0 0.238487 
17.5665 13.639 0 0.573951 
18.8468 13.6247 0 0.655388 
0.659464 14.9444 0 0.407149 
1.96282 14.957 0 0.447256 
3.26571 14.9487 0 0.49551 
4.5469 14.9383 0 0.297224 
5.85642 14.9519 0 0.313449 
7.16528 14.9505 0 0.482311 
8.46763 14.9443 0 0.549107 
9.75834 14.9441 0 0.386666 
11.059 14.953 0 0.355435 
12.3717 14.9466 0 0.610206 
13.6652 14.9372 0 0.572099 
14.9661 14.9324 0 0.646884 
16.262 14.9401 0 0.491533 
17.5602 14.9424 0 0.432474 
18.8576 14.9483 0 0.300923 
0.660872 16.2518 0 0.406192 
1.97064 16.2389 0 0.638639 
3.25958 16.2491 0 0.378056 
4.54795 16.2531 0 0.149032 
5.85977 16.2404 0 0.445269 
7.16568 16.2637 0 0.519751 
8.45008 16.2589 0 0.206394 
9.751 16.2455 0 0.259865 
11.0578 16.2445 0 0.376381 
12.3563 16.2503 0 0.303949 
13.6683 16.2528 0 0.508817 
14.9732 16.2512 0 0.595103 
16.2536 16.2253 0 0.651333 
17.5532 16.2295 0 0.585004 
18.8424 16.2446 0 0.309441 
0.671449 17.5575 0 0.609002 
1.9652 17.5497 0 0.480427 
3.26 17.5509 0 0.378434 
4.56332 17.543 0 0.481943 
5.85891 17.5563 0 0.352762 
7.1526 17.5442 0 0.298591 
8.45988 17.5323 0 0.560566 
9.76475 17.5393 0 0.542897 
11.0502 17.5446 0 0.27086 
12.3483 17.5429 0 0.284865 
13.6641 17.5501 0 0.431036 
14.9542 17.5401 0 0.397876 
16.2511 17.5399 0 0.380571 
17.5649 17.5338 0 0.60634 
18.8507 17.5359 0 0.464714 
0.656461 18.8463 0 0.344731 
1.96785 18.843 0 0.561424 
3.26029 18.852 0 0.378052 
4.55588 18.8497 0 0.303153 
5.8695 18.8338 0 0.675095 
7.16044 18.8378 0 0.495538 
8.46363 18.8503 0 0.436545 
9.7601 18.8391 0 0.476618 
11.0555 18.8357 0 0.472235 
12.3527 18.851 0 0.225253 
13.6582 18.8448 0 0.377298 
14.9571 18.8411 0 0.412851 
16.2525 18.8351 0 0.477928 
17.5468 18.8397 0 0.382724 
18.8451 18.8448 0 0.299823 
ITEM: TIMESTEP
1000
ITEM: NUMBER OF ATOMS
225
ITEM: BOX BOUNDS ff ff pp
0 40
0 20
-1 1
ITEM: ATOMS x y c_ps v_speed 
0.682948 0.6838 0 0.815261 
1.98628 0.666738 0 0.754127 
3.2893 0.668536 0 0.785909 
4.55435 0.667844 0 0.52086 
5.87481 0.666448 0 0.66337 
7.17246 0.678364 0 0.711944 
8.48193 0.685948 0 0.823785 
9.77113 0.69343 0 0.810892 
11.0801 0.678341 0 0.769857 
12.3904 0.693071 0 0.929415 
13.6848 0.689458 0 0.872182 
14.9726 0.692214 0 0.830026 
16.2603 0.663928 0 0.555691 
17.5801 0.676487 0 0.733847 
18.8425 0.682005 0 0.686236 
0.686453 1.96086 0 0.743421 
1.96062 1.96369 0 0.52572 
3.28869 1.95724 0 0.738977 
4.55485 1.96352 0 0.484147 
5.88092 1.93568 0 0.630916 
7.19252 1.97477 0 0.830881 
8.48345 1.97122 0 0.744318 
9.79234 1.98039 0 0.85721 
11.0673 1.97321 0 0.641397 
12.3919 1.97668 0 0.833149 
13.6723 1.96856 0 0.647776 
14.9485 2.00647 0 0.845791 
16.2616 1.98413 0 0.708979 
17.5612 2.02358 0 1.0537 
18.8579 1.9985 0 0.830615 
0.6822 3.2522 0 0.689223 
1.99061 3.25612 0 0.756039 
3.27884 3.24821 0 0.637328 
4.595 3.26625 0 0.818883 
5.8667 3.24324 0 0.518618 
7.18447 3.27662 0 0.773026 
8.49041 3.26551 0 0.777369 
9.78537 3.26522 0 0.734182 
11.0845 3.25419 0 0.686529 
12.3603 3.27668 0 0.617463 
13.6756 3.26872 0 0.672589 
14.958 3.27995 0 0.645856 
16.2863 3.28514 0 0.839632 
17.5457 3.26724 0 0.521166 
18.8445 3.28257 0 0.672663 
0.695228 4.55384 0 0.808216 
1.97922 4.55188 0 0.649445 
3.3042 4.54943 0 0.86998 
4.57187 4.56557 0 0.61912 
5.88917 4.56601 0 0.767712 
7.19392 4.51962 0 0.782638 
8.48992 4.55796 0 0.752786 
9.78645 4.56795 0 0.752996 
11.0812 4.57751 0 0.753459 
12.3775 4.57522 0 0.717404 
13.7177 4.56619 0 1.00275 
14.9915 4.57431 0 0.8196 
16.2703 4.58074 0 0.716649 
17.5773 4.59183 0 0.837774 
18.8725 4.57575 0 0.679377 
0.687319 5.87621 0 0.788948 
2.0007 5.84053 0 0.841032 
3.2899 5.85426 0 0.748972 
4.56904 5.85698 0 0.56786 
5.88469 5.86783 0 0.731316 
7.1847 5.84149 0 0.692176 
8.50293 5.87571 0 0.912478 
9.797 5.84843 0 0.803148 
11.0997 5.87348 0 0.880712 
12.3798 5.87124 0 0.710347 
13.6922 5.87905 0 0.844913 
14.9751 5.86377 0 0.645034 
16.2624 5.86175 0 0.539904 
17.5872 5.88463 0 0.845243 
18.8446 5.87589 0 0.597656 
0.681974 7.14785 0 0.689117 
1.97265 7.15605 0 0.596066 
3.29101 7.14757 0 0.755988 
4.59437 7.13688 0 0.790597 
5.89502 7.16511 0 0.810328 
7.20087 7.17016 0 0.872876 
8.47965 7.14433 0 0.651918 
9.77867 7.15793 0 0.653843 
11.1062 7.18036 0 0.949956 
12.4016 7.14279 0 0.846399 
13.6842 7.1704 0 0.736128 
14.9889 7.17446 0 0.792858 
16.2988 7.16249 0 0.840428 
17.5922 7.14627 0 0.734957 
18.8826 7.16835 0 0.713154 
0.675944 8.42274 0 0.681783 
1.98106 8.44404 0 0.669316 
3.2708 8.44012 0 0.581249 
4.60157 8.4703 0 0.872255 
5.88908 8.44976 0 0.739745 
7.1865 8.44359 0 0.71864 
8.51295 8.45161 0 0.955471 
9.76878 8.43445 0 0.573249 
11.1052 8.48165 0 0.930597 
12.371 8.45903 0 0.582281 
13.695 8.4433 0 0.795625 
15.01 8.45516 0 0.930466 
16.2808 8.47041 0 0.690816 
17.5933 8.46101 0 0.784972 
18.8771 8.45025 0 0.631137 
0.698581 9.74709 0 0.838601 
1.99412 9.7802 0 0.831341 
3.27825 9.73275 0 0.660548 
4.60602 9.73183 0 0.907718 
